"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"radar:Radar:1                         ","Class","Radar","1.0.0.0","radar","This class specifies the parameters for radar data.","sbn","","","","","","","","","","",""
"radar:Groundbased_Radar:1             ","Class","Groundbased_Radar","1.0.0.0","radar","This class specifies the parameters for radar observations acquired from groundbased facilities. Indicates that the observations were carried out with a groundbased radar facility.","sbn","","","","","","","","","","",""
"radar:Groundbased_Radar:2              radar:observation_purpose:1           ","Attribute","observation_purpose","n/a","radar","Type of radar experiment being performed. Simpler experiments can have higher signal-to-noise or simpler hardware configurations, while more complicated experiments provide more information. ‘Range’ and ‘Total Power’ are mostly historical.","sbn","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Doppler","Value","Doppler","","","Received signal is analyzed as a function of Doppler shift with separation by range."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Range","Value","Range","","","Transmitted signal is modulated in order to resolve and/or local the target in range, but the entire received signal is analyzed without separation by Doppler shift."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Range-Doppler","Value","Range-Doppler","","","Transmitted signal is modulated in order to resolve and/or locate the target in range. Received signal is analyzed as a function of Doppler shift in each range bin."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Total Power","Value","Total Power","","","Only the total echo power is measured, with no separation in range or Doppler shift."
"radar:Transmission_Properties:1       ","Class","Transmission_Properties","1.0.0.0","radar","Specifies the transmission properties of the radar used for the observations.","sbn","","","","","","","","","","",""
"radar:Transmission_Properties:2        radar:range_resolution_time:1         ","Attribute","range_resolution_time","n/a","radar","The minimum separation distance that can be resolved between two closely spaced targets by a radar in units of time, based on the properties of the transmitted signal.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:range_resolution_distance:1     ","Attribute","range_resolution_distance","n/a","radar","The minimum separation distance that can be resolved between two closely spaced targets by a radar in units of distance, based on the properties of the transmitted signal.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:transmitter_power:1             ","Attribute","transmitter_power","n/a","radar","Specifies the transmitter power","sbn","ASCII_Real","1","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Power","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:pulse_repetition_frequency:1    ","Attribute","pulse_repetition_frequency","n/a","radar","For repeating waveforms including pulse patterns, it specifies the frequency at which the waveform or pulse pattern repeats.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:pulse_repetition_interval:1     ","Attribute","pulse_repetition_interval","n/a","radar","For repeating waveforms including pulse patterns, it specifies the interval from the beginning of one waveform or pulse pattern to the beginning of the next.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Quality:1                       ","Class","Quality","1.0.0.0","radar","Specifies the quality of the radar observations.","sbn","","","","","","","","","","",""
"radar:Quality:2                        radar:matched_snr_ratio:1             ","Attribute","matched_snr_ratio","n/a","radar","Specifies total matched-filter signal-to-noise ratio in one run, expressed as a ratio.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"radar:Quality:2                        radar:matched_snr_db:1                ","Attribute","matched_snr_db","n/a","radar","Specifies the total matched-filter signal-to-noise ratio in one run, expressed in db.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"radar:Quality:2                        radar:pixel_count:1                   ","Attribute","pixel_count","n/a","radar","Specifies the number of pixels in an image with measurable signal.","sbn","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"radar:Target_Properties:1             ","Class","Target_Properties","1.0.0.0","radar","Gives pertinent radar properties with respect to the target","sbn","","","","","","","","","","",""
"radar:Target_Properties:2              radar:transmitter_to_receiver_lighttime:1","Attribute","transmitter_to_receiver_lighttime","n/a","radar","Specifies the distance from the transmitter, to the target, and back to the receiver at the time of observation, expressed as light time.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Target_Properties:2              radar:range_depth_time:1              ","Attribute","range_depth_time","n/a","radar","Range_depth_time is the round-trip time delay from the nearest to the farthest illuminated range element in the product. This is an indicator of the usefulness of the observation for analysis.","sbn","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"radar:Target_Properties:2              radar:range_depth_distance:1          ","Attribute","range_depth_distance","n/a","radar","Range_depth_distance is the line-of-sight distance from the nearest to the farthest illuminated range element in the product. This is an indicator of the usefulness of the observation for analysis.","sbn","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","INTEGER"
"radar:Sampling_Properties:1           ","Class","Sampling_Properties","1.0.0.0","radar","Specifies the sampling propertied of the radar observations.","sbn","","","","","","","","","","",""
"radar:Sampling_Properties:2            radar:sample_type:1                   ","Attribute","sample_type","n/a","radar","Specifies whether the time samples are real values or complex value pairs obtained simultaneously for a data acquisition system. It does not imply a numeric format. Sample Type is whether the (usually voltage) samples are single real values or a complex number pair (a + ib), which depends on the hardware used. In either case, the numbers themselves can be any numeric type. In raw form, they are usually few-bit integers or pairs of few-bit integers. But they may get converted to floating point in processing. ","sbn","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"radar:Sampling_Properties:2            radar:sample_type:2                    Value:Complex","Value","Complex","","","Samples are a complex number pair (a + ib)"
"radar:Sampling_Properties:2            radar:sample_type:2                    Value:Real","Value","Real","","","Samples are single real values"
"radar:Sampling_Properties:2            radar:sample_rate:1                   ","Attribute","sample_rate","n/a","radar","Specifies the frequency at which samples repeat for a data acquisition system.","sbn","ASCII_Real","1","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
